CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,euro_income,age,years_employed,pay_danger
0,1,1,1,Working,Secondary / secondary special,Married,House / apartment,1,1,0,3,14625.0,44,2,240.0
0,1,1,1,Working,Secondary / secondary special,Married,House / apartment,1,1,0,3,14625.0,44,2,240.0
0,1,1,0,Commercial associate,Higher education,Married,House / apartment,0,0,0,2,40950.0,51,3,235.0
1,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,3,20475.0,35,10,230.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,23400.0,62,0,220.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,23400.0,62,0,210.0
1,0,1,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,3,20475.0,42,6,190.0
0,0,1,0,Commercial associate,Higher education,Married,House / apartment,0,0,0,2,14625.0,55,1,175.0
0,0,1,0,Commercial associate,Higher education,Married,House / apartment,0,0,0,2,14625.0,55,1,175.0
0,0,1,0,Commercial associate,Higher education,Married,House / apartment,0,0,0,2,14625.0,55,1,175.0
1,0,0,0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,1,8775.0,63,0,150.0
0,0,1,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,3,16380.0,34,5,131.0
0,1,1,0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,25447.5,51,2,131.0
0,0,1,0,Pensioner,Higher education,Married,House / apartment,0,0,0,2,8482.5,57,0,123.0
0,0,0,0,Working,Secondary / secondary special,Widow,Municipal apartment,0,0,0,1,29250.0,53,0,118.0
1,1,0,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,1,0,1,14625.0,48,28,110.0
0,1,1,0,Commercial associate,Higher education,Married,House / apartment,0,0,1,2,26325.0,34,14,110.0
0,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,20475.0,48,3,99.0
